1000 1000
0 67 331
0 130 900
0 16 674
0 383 813
1 104 999
0 25 225
1 139 220
0 473 861
0 67 353
0 38 640
1 408 853
1 57 180
1 552 917
1 177 584
0 435 681
0 383 527
0 691 829
0 258 960
0 114 808
0 705 859
1 852 879
1 485 724
1 73 288
1 511 862
1 298 373
1 961 994
0 42 986
1 260 829
1 544 817
1 671 828
1 119 888
0 171 761
0 399 859
0 608 610
1 191 270
0 41 959
1 145 790
0 600 928
1 542 899
0 252 776
0 267 783
1 72 267
0 113 177
0 666 812
0 561 761
1 575 604
1 445 472
0 39 211
0 438 966
0 392 742
0 229 987
0 16 96
1 114 267
1 127 930
0 68 406
0 530 702
1 704 781
0 56 362
0 624 894
0 269 585
0 276 876
1 747 922
1 460 789
0 604 944
0 100 772
1 43 294
0 650 918
0 766 972
1 581 688
1 437 970
0 13 363
0 845 949
0 485 909
1 0 875
1 206 673
0 326 804
1 362 833
0 579 925
1 18 889
0 444 818
1 664 935
1 242 445
1 107 144
0 860 928
1 6 649
0 402 518
1 933 960
0 874 954
1 429 490
1 161 442
1 759 926
0 74 892
1 384 665
1 394 677
1 520 927
1 1 792
0 471 581
1 449 958
1 263 954
1 176 817
0 62 256
0 323 615
1 643 928
0 564 878
1 337 756
0 425 959
0 525 979
1 390 401
0 408 622
0 3 629
1 382 987
0 126 916
0 827 839
1 483 904
0 118 134
0 114 484
0 266 370
1 316 563
0 836 918
1 75 548
0 506 830
1 970 987
1 141 564
0 912 982
0 675 725
0 135 465
1 363 872
0 4 638
0 370 978
1 527 558
1 260 853
1 712 909
0 141 347
0 521 963
0 124 616
1 448 901
1 42 765
0 565 855
0 156 354
0 105 457
1 194 843
1 256 375
1 235 662
1 407 822
1 620 787
0 122 292
0 603 805
1 488 853
1 276 969
0 484 526
1 295 358
1 135 534
0 517 917
0 161 969
1 568 959
0 601 713
1 58 829
1 211 462
0 555 767
1 67 538
0 16 794
1 640 683
0 495 759
0 702 952
0 289 579
0 403 455
0 378 950
1 253 590
1 163 394
0 179 251
1 296 789
1 275 482
1 563 844
0 294 628
0 23 307
1 103 474
1 360 975
0 223 683
0 431 497
1 594 799
1 258 625
1 902 905
0 459 853
1 626 709
0 292 952
1 666 717
0 733 767
0 42 812
1 751 928
0 425 553
0 54 474
0 720 930
1 261 692
1 504 915
0 233 555
1 360 719
1 177 340
0 557 679
1 398 715
0 385 605
0 152 374
0 295 913
0 6 200
1 19 774
0 265 285
1 206 435
0 433 721
1 446 585
0 177 987
0 683 701
1 49 144
1 554 555
1 327 558
1 135 200
1 251 734
0 86 936
1 329 414
1 449 904
0 297 479
1 626 691
1 747 778
1 189 946
0 153 471
0 255 881
0 576 634
1 591 760
0 75 727
0 149 485
1 530 907
0 887 977
1 95 920
0 318 422
1 309 474
1 12 145
0 388 806
1 198 579
1 51 98
0 108 122
1 791 948
0 55 117
0 21 801
0 157 855
1 212 951
1 292 503
0 755 789
1 34 783
0 646 706
1 462 895
0 439 975
1 703 824
1 539 840
1 622 651
0 526 636
0 666 702
1 81 526
0 566 860
1 138 643
1 175 702
0 138 930
1 138 335
