100000 1000
0 19169 28311
0 18876 29870
1 30242 99417
0 26520 40128
1 29756 91345
1 90050 98795
0 71167 73825
1 17975 18952
0 18206 63592
1 4903 64702
1 18920 28381
1 21677 96054
0 71039 75485
0 10865 15575
0 38706 38992
0 12810 75560
0 30307 99307
1 5534 55899
1 52024 90151
1 46305 71662
0 77429 79395
0 71887 90567
1 29661 69232
0 14039 84699
0 26921 40653
1 24225 37260
0 10995 33871
0 27261 73357
1 10537 55974
1 86694 95005
0 15682 93356
1 13063 19980
1 17286 49827
1 52838 84145
0 57011 59015
1 35098 87077
0 37479 96545
1 52195 84100
0 3373 23693
1 19265 92050
1 55936 57623
1 57986 95023
1 64018 74625
1 21170 82761
0 49918 99782
1 82559 95192
0 41842 87078
0 15645 32377
0 13102 29382
0 44938 96228
0 38420 71904
0 3589 16365
0 3584 42944
0 38953 98603
0 16768 27064
1 14932 97991
0 10691 87865
1 28643 88796
1 40223 85516
1 1697 70228
0 56656 78366
1 8682 50549
1 49717 93412
1 73433 88492
0 3822 99858
1 60003 98464
1 7362 74355
1 9924 46927
0 45419 67827
0 5090 18618
1 21377 54298
0 17211 24279
1 26046 68461
1 1157 85946
1 63031 76758
1 58472 88757
1 48162 90671
0 37963 76787
0 8954 71048
0 79726 96886
1 70026 83727
1 35515 80370
0 39144 86130
0 19 31319
1 43 50764
1 57500 83251
0 22899 70087
0 48422 84700
1 36677 46404
0 82153 98971
0 7242 20926
1 61444 64099
1 39206 70127
0 52965 68337
1 17674 56437
0 87383 97295
0 71944 95242
1 47832 87003
0 78513 92499
1 78394 92523
1 75367 92864
0 71692 76946
1 10483 88900
1 1810 22815
0 31516 54128
0 45120 45500
1 26002 75121
0 4006 66384
1 69351 79568
1 38617 93144
0 10352 26156
0 58379 73163
0 32270 57566
1 34925 38866
1 23252 56981
1 41436 68869
0 71681 83043
1 48783 73566
0 17609 62425
1 52079 69868
1 27244 88641
1 70937 83580
1 22990 58737
1 52956 84479
0 16641 31409
1 20840 42763
0 23554 59432
0 10550 55146
0 57942 79656
0 51188 79814
0 69933 75459
1 16144 82061
1 25142 48271
1 47531 93588
0 6876 8154
0 29908 31524
0 48300 63326
0 6141 55889
